set_code_name,format,date,wins,losses,ties,colors,splash,platform,link
RNA,Draft,12/4/19,1,2,0,WUBRG,,paper,https://www.instagram.com/p/BwIwEbfA8w9/
RNA,Draft,18/4/19,2,1,0,WB,U,paper,https://www.instagram.com/p/BwZzloAgbdv/
WAR,Sealed,5/5/19,1,2,0,BR,,paper,https://www.instagram.com/p/BxGRLVJA3O6/
WAR,Sealed,6/5/19,6,0,0,WG,U,paper,https://www.instagram.com/p/BxIEQc7AbkL/
WAR,Sealed,8/5/19,2,2,0,UB,W,paper,https://www.instagram.com/p/BxNkVSaAqQ0/
WAR,Draft,12/5/19,2,1,0,UR,B,paper,https://www.instagram.com/p/BxXW7nsgz9O/
WAR,Draft,21/5/19,1,2,0,UG,,paper,https://www.instagram.com/p/BxtkwsiA2KM/
WAR,Draft,3/6/19,1,2,0,BG,UR,paper,https://www.instagram.com/p/ByQnRmlg8br/
WAR,Draft,4/6/19,1,2,0,WB,,paper,https://www.instagram.com/p/BySHjTrArMi/
WAR,Draft,4/7/19,2,1,0,UR,UB,paper,https://www.instagram.com/p/BzfxoCkgS3P/
M20,Sealed,21/7/19,1,2,0,WU,,paper,https://www.instagram.com/p/B0LAua4A8_q/
M20,Sealed,22/7/19,3,3,0,UB,,paper,https://www.instagram.com/p/B0LA57Lgptx/
M20,Sealed,23/7/19,3,1,0,WU,,paper,https://www.instagram.com/p/B0LBEj_gDSP/
M20,Draft,5/8/19,1,2,0,UG,,paper,https://www.instagram.com/p/B0zQrYDgVOq/
M20,Draft,19/8/19,1,2,0,RG,,paper,https://www.instagram.com/p/B1W85ntAxMy/
M20,Draft,24/8/19,1,2,0,BG,,paper,https://www.instagram.com/p/B1i0DuwAoWA/
M20,Draft,27/8/19,2,1,0,RG,,paper,https://www.instagram.com/p/B1qleClA3La/
M20,Draft,23/9/19,2,1,0,UB,,paper,https://www.instagram.com/p/B2wgNTkgubL/
ELD,Sealed,13/10/19,2,0,1,UB,R,paper,https://www.instagram.com/p/B3kRfSAg78F/
ELD,Sealed,14/10/19,5,1,0,BG,R,paper,https://www.instagram.com/p/B3kR12gg4z0/
ELD,Draft,31/10/19,1,1,1,WB,,paper,https://www.instagram.com/p/B4RxVJfgkJK/
ELD,Draft,27/11/19,1,2,0,UG,,paper,https://www.instagram.com/p/B5YBihtgxKE/
ELD,Draft,17/12/19,3,0,0,UG,,paper,https://www.instagram.com/p/B6Lc3SFgsU8/
ELD,Draft,25/12/19,2,0,1,UR,,paper,https://www.instagram.com/p/B6eaBzEgpbt/
THB,Sealed,23/1/20,4,1,0,BG,UR,paper,https://www.instagram.com/p/B7s5laMAMU7/
THB,Sealed,24/1/20,2,1,1,UG,,paper,https://www.instagram.com/p/B7s56BSg6Mi/
THB,Draft,14/2/20,3,0,0,WU,,paper,https://www.instagram.com/p/B8j1RexAQTB/
THB,Draft,26/2/20,0,3,0,WB,,paper,https://www.instagram.com/p/B9BZpa5A-bs/
THB,Draft,5/3/20,3,0,0,UB,,paper,https://www.instagram.com/p/B9Vuo3cAdHU/
IKO,Sealed,31/5/20,1,2,0,BG,U,paper,https://www.instagram.com/p/CA2r7wxANCB/
IKO,Draft,27/6/20,1,2,0,BG,R,paper,https://www.instagram.com/p/CB8kwgYg_H2/
M21,Sealed,13/7/20,3,1,0,RG,B,paper,https://www.instagram.com/p/CCkrGDdg4hw/
ZNR,Draft,11/10/20,3,0,0,WR,,paper,https://photos.google.com/photo/AF1QipN8_HrrNuCIuykiyd_tA38GNcenvKs1mREXiMqS
ZNR,Draft,29/11/20,3,0,0,WU,,paper,https://photos.google.com/photo/AF1QipOm4KHPA1U1ZGJByjMO79UXuAhOGkuq8FreB7nQ
ZNR,Draft,20/12/20,3,0,0,UR,,paper,https://photos.google.com/photo/AF1QipMSvegaB_Vg2CW19JvAuDwnWVnYJavUMgLqNUhx
ZNR,Draft,8/2/21,3,0,0,WU,,paper,https://www.instagram.com/p/CLB68fvg2vw/
KHM,Draft,15/2/21,3,0,0,BG,,paper,https://photos.google.com/photo/AF1QipO3c88TKpvAljg_QO-Rh1soboZHBeNbMMq__qby
KHM,Draft,18/2/21,7,1,0,WG,,arena,https://www.17lands.com/deck/58addac52c4c489181a91295b52cb136/0
KHM,Draft,19/2/21,1,3,0,UBR,,arena,https://www.17lands.com/deck/9f14fce2e5f8429892e50e17e8e865d4/0
KHM,Draft,19/2/21,5,3,0,WG,R,arena,https://www.17lands.com/deck/846c6462ec1d4a3eabf1144dbf017306/0
KHM,Draft,24/2/21,3,3,0,UG,W,arena,https://www.17lands.com/deck/52b0657bd9274918b9044454c98f4ef8/0
KHM,Draft,24/2/21,5,3,0,RG,,arena,https://www.17lands.com/deck/d2657647ca074341893911e3bee00723/0
KHM,Draft,25/2/21,1,3,0,WG,,arena,https://www.17lands.com/deck/9344bf5c7df84b5c890679c1e9d6301e/1
KHM,Draft,26/2/21,7,1,0,RG,B,arena,https://www.17lands.com/deck/9354495bb2254b0e878fb23e7739453e/0
KHM,Draft,27/2/21,7,2,0,BG,R,arena,https://www.17lands.com/deck/cc4c14b880ba4a1b9da34646c968a04e/0
KHM,Draft,2/3/21,7,2,0,RG,,arena,https://www.17lands.com/deck/4063235d6312429b989c1c27bd33229b/1
KHM,Draft,4/3/21,4,3,0,BG,W,arena,https://www.17lands.com/deck/71783299cc594aa8ac2ac614ca3c2ef6/0
KHM,Draft,9/3/21,0,3,0,BG,R,arena,https://www.17lands.com/deck/e9e1ae484ac141aebca57f5e65e220b9/0
KHM,Draft,13/3/21,6,3,0,UR,,arena,https://www.17lands.com/deck/8d0bd7be7bfd4432ae634f7be75a1553/0
KHM,Draft,14/3/21,3,3,0,WR,G,arena,https://www.17lands.com/deck/66e5fb7547fe49f6b40c44c879bc3f60/0
KHM,Draft,15/3/21,6,3,0,WG,,arena,https://www.17lands.com/deck/6abc94b997a14a1cb4953c4d650166a3/0
KHM,Draft,16/3/21,1,3,0,UR,,arena,https://www.17lands.com/deck/8dd070538c6d4db38cd0c294e59a2c71/0
KHM,Draft,17/3/21,1,3,0,BG,,arena,https://www.17lands.com/deck/09ecc7628f8e49f2a7a6cd6ac966caed/0
KHM,Draft,19/3/21,7,1,0,UG,B,arena,https://www.17lands.com/deck/46e950e8487a45b58480498a33f7fbdf/0
KHM,Draft,11/4/21,1,1,1,UB,,paper,https://photos.google.com/photo/AF1QipOTpeYwLZxuPloM568QplaUAek9D4rpvR86aQkC
STX,Sealed,15/4/21,0,3,0,WR,,arena,https://www.17lands.com/deck/a703c8c06e634ddbb9272237f1b086ad/0
STX,Sealed,15/4/21,1,3,0,URG,W,arena,https://www.17lands.com/deck/bccb579041504b2aa8027a00f16b75e3/0
STX,Draft,17/4/21,4,3,0,UR,,arena,https://www.17lands.com/deck/7db928b45a654abc8e7eb8cb335d8226/0
STX,Draft,20/4/21,2,3,0,WB,,arena,https://www.17lands.com/deck/9a7fa2b9f4b948699bbc52170f0e4325/0
STX,Draft,20/4/21,7,0,0,WB,,arena,https://www.17lands.com/deck/d1499a6c8b0d464ca7f839921a8b4d4e/0
